id,orig,trans
0101Adv08_Hanna010,はいそれあなたの魔法！！,好啦那就是你的魔法啦！！
0101Adv08_Hanna011,逆に今まで気付かなかったのが信じがたいですわ……。,我才不信你真的从来都没发现呢……
0101Adv08_Hanna012,仕方ないですわね。そんなに見たいのなら見せてあげても<br>よろしくってよ？ よ？,"真拿你没办法。这么想看的话<br>
本小姐就表演给你看咯？看好咯？"
0101Adv08_Hanna013,これがわたくしの魔法ですわあぁっ,这就是我的魔法哇哇哇～
0101Adv08_Hanna014,このまま移動もできますのよ！,我还可以一边飞一边移动！
0101Adv08_Hanna015,……と、こんな風にわたくしたちは<br>魔法を持っていますの。<br>きっと魔女見習いみたいなものね。,"……就像这样，我们是<br>
会使用魔法的。<br>
我想这算是实习魔女吧。"
0101Adv08_Hanna016,自分が不思議な力を使えるって気付いた時から、<br>わたくし、色々調べてきましたの。,"我发现自己会使用神奇能力之后，<br>
就开始了调查，知道了很多事。"
0101Adv08_Hanna017,魔女因子や牢屋敷のことは、<br>都市伝説で聞いたことがありますわ。,"魔女因子还有监牢的事，<br>
我有听都市传说讲过哦。"
0101Adv08_Hanna018,魔法を持つ者は、魔女になるかもしれないから<br>１５才で牢屋敷送りになるって。,"说拥有魔法的人可能会变成魔女，<br>
所以要在15岁的时候送到监牢里。"
0101Adv08_Hanna019,可能性はありますわね。<br>検査なんて、いつされたのかもわからないですし。,"嗯，有可能。<br>
毕竟也不知道所谓的检查是什么时候做的。"
0101Adv08_Hanna020,わたくし、牢屋敷送りが嫌で<br>この能力をずっと隠してきましたのに……。,"我本来是不想被关进监牢，<br>
才一直以来都隐瞒了这份能力……"
0101Adv08_Hanna021,こんなところに閉じ込められて、<br>この先、どうなってしまうんですの……。,"关进这种地方，接下来究竟<br>
会变成什么样……"
0101Adv16_Hanna001,まずい。まずいですわ……！ くそー。,难吃。难吃死了……！该死的。
0101Adv16_Hanna002,バルーンがここに捕まっていますの？ そんなバカな……！<br>一体誰でやがりますの！？,"“气球”被抓到这里了？怎么可能……！<br>
究竟是谁哇！？"
0101Adv16_Hanna003,はぁっ！？ 嘘でしょう！？<br>【バルーン】といえば、<br>ネットで話題にならない日はありませんのよ！,"哈啊！？假的吧！？<br>
说到【气球】，<br>
网络上可是一天都没少过他的话题欸！"
0101Adv16_Hanna004,そのアートはどこからか現れ、描くところを見た者はいない…… 正体は謎に包まれ……その芸術的なアートは<br>若者を中心に多くの者を魅了している……。,"他的画会忽然间出现在某个地方，但从未有人看见过他<br>
作画的样子……其真实身份充满谜团……而那充满艺术的绘画<br>
令年轻族群为主的多数人为之倾倒……"
0101Adv16_Hanna005,あの子がそんな、世界的に有名なアーティストだなんて！,而她居然就是那个世界有名的艺术家！
0101Adv17_Hanna001,服を捨てるなんて……ぐぬぬ、もったいないですわ……。,竟然要丢掉衣服……咕唔唔，太浪费了……
0101Adv17_Hanna002,まだ全然着られますのに！,明明还能穿欸！
0101Adv17_Hanna003,うっ……嫌ですが、<br>規則違反がバレたら何をされるかわかりませんし……。,"呜……虽然很不愿意，<br>
但是要是被抓到违反了规定，不知道会遭怎样的处罚……"
0101Adv17_Hanna004,仕方ないですわ、くそ～～！,真是没办法，该死～～！
0101Adv17_Hanna005,――しかも毎日同じ服着なきゃならないなんて！<br>せめて寝間着は用意してほしかったですわ。,"——而且每天都要我们穿一模一样的衣服！<br>
应该至少给我们准备一套睡衣才对。"
0101Adv17_Hanna006,ふん、趣味は悪くないんじゃないかしら？,呵，看来它的喜好还不算太差……
0101Adv17_Hanna007,べ、べべべべっつにぃ？ 気に入っていませんけどぉ？,才、才才才才没有吧？一点都不喜欢哦？
0101Adv17_Hanna008,ふんっ、こんなもの見る価値ありませんわね。,哼，这样的东西根本没有看的价值。
0101Adv17_Hanna009,！,！
0101Adv17_Hanna010,何しますの！？ お返しなさい！,你在干什么！？把手机还给我！
0101Adv17_Hanna011,このゴリラ女！ 返せ！！,你个猩猩女！快还给我！！
0101Adv18_Hanna001,あなたたち、何をやっていやがりますの？<br>看守に見つかったら懲罰房行きになりますわよ。,"你们在这里干什么呀？<br>
万一被看守看见了，可是要被关进惩罚室里的哦。"
0101Adv18_Hanna002,どこで見られてるのか、<br>わかったもんじゃねえですわよ。,"我们根本就不知道<br>
它们会从什么地方看着我们。"
0101Adv18_Hanna003,少し遠くまで歩いていってみたのですが、<br>監視の化け物フクロウが大量に飛んでいましたわ。,"我刚刚去了比较远的地方，<br>
看到有好多监视的怪物猫头鹰在天上飞。"
0101Adv18_Hanna004,ええ……正確な仕組みはわかりませんが、<br>遠くまで逃亡して監視のフクロウに発見されたら、<br>看守に連絡が入るんでしょう。,"嗯……虽然不清楚准确的机制，<br>
我猜只要往远处逃，被监视的猫头鹰发现的话，<br>
看守就会收到联络。"
0101Adv18_Hanna005,フクロウなら夜目もきくでしょうし……<br>夜闇にまぎれて脱獄しようとする囚人もいるのでしょうね。<br>はぁ……。,"猫头鹰的夜间视力应该很好……<br>
这也是为了提防趁夜色昏暗越狱的囚犯吧。<br>
唉……"
0101Adv18_Hanna006,わたくしも、どこか出られる場所がないか<br>探してみてたんですわ。,"我也有在找找看，有没有什么地方<br>
可以逃出这里。"
0101Adv18_Hanna007,そんな簡単にいくわけねえですわ。見たらわかるでしょう？<br>一帯全てが高いコンクリート塀に囲まれていて。,"怎么可能那么顺利。你也看到了吧，<br>
这附近全部都被混凝土高墙围住。"
0101Adv18_Hanna008,残念ながらわたくしたちが閉じ込められているという事実に、<br>変わりはねーですわ。,"很遗憾，我们被困在这个地方的事实<br>
没有任何改变。"
0101Adv18_Hanna009,それと、ひとつわかったことがありますわ。,我还发现了一件事。
0101Adv18_Hanna010,ここは島ですわね。微かに潮のにおいと……<br>塀に耳をつけたら波の音が聞こえました。,"这里是座小岛吧。我有闻到一丝海浪的气味……<br>
把耳朵贴在围墙上，还听到了波浪的声音。"
0101Adv18_Hanna011,そしてこの島全体を塀で囲っているのなら、<br>ここからの脱出は相当難しいですわ。,"而且整座岛都被围墙围住，<br>
想逃出这里一定很困难。"
0101Adv18_Hanna012,早く、早くここを出ないと……。,我一定要早点逃出这里……
0101Adv18_Hanna013,――大丈夫なわけないじゃない！,——怎么可能没事！
0101Adv18_Hanna014,おぞましい化け物が<br>常にわたくしたちのことを見張っていますのよ！？,"可怕的怪物<br>
可是时时刻刻都在监视我们哦！？"
0101Adv18_Hanna015,こんなところはもう嫌ですわ！！<br>いつかわたくしたちもあんな化け物に――。,"我已经受够了这个地方了！！<br>
而且我们以后可能也会变成那样子的怪物——"
0101Adv18_Hanna016,素手でどうにかしようという思考がどうにかしてますわよ！？,竟然想赤手空拳解决问题，你的想法也太不正常了吧！？
0101Adv18_Hanna017,ひっ……。,噫……
0101Adv18_Hanna018,一体どこに逃げるんですの！？,到底往哪里逃！？
0101Adv20_Hanna001,なんですって……それって一大事じゃ！？,什么……这事很严重欸！？
0101Adv20_Hanna002,あんな状態じゃ、トラブルを起こしそうですわ。,她这副样子，很容易惹出事欸。
0101Adv20_Hanna003,大変ですわ、暴力沙汰になりますわ！,不好啦，要发生暴力事件了！
0101Adv21_Hanna001,シャワーだけでなく、お風呂に浸かりてえですわ。<br>ふわあ～。,"累死了，光冲澡已经缓解不了疲劳了，好想泡个澡啊。<br>
呼啊～"
0101Adv21_Hanna002,自分からぶつかっておいて、失礼なヤツですわね！,明明是她自己撞上来的，真是没礼貌！
0101Adv21_Hanna003,べ、別にあなたに気を遣ってもらわなくても<br>けっこうですわ！,"本、<br>
本小姐可用不着你来关心！"
0101Adv21_Hanna004,ふん、毎日毎日みんなに気を配ってご苦労なことね。,哼，真是辛苦你每天费心照顾其他人呢。
0101Adv21_Hanna005,ふ、ふーん。まあ、見てあげなくもないですわよ？<br>い、行きましょうメルルさん！,"哼～倒也不是不能看一眼哦？<br>
走、走啦，梅露露！"
0101Adv24_Hanna001,なっ……。,什么……
0101Adv24_Hanna002,……そうね、絶対に犯人を見つけましょう。,……说得对，一定要找到凶手。
0101Adv26_Hanna001,ちょっとあなた、神経どうかしてるんじゃありません？<br>よくスキップなんかできますわね。,"我说你，是不是太过神经大条了？<br>
真亏你走路还能一蹦一跳的。"
0101Adv26_Hanna002,ナチュラルにハブられてません？,你这是明显被人孤立了欸？
0101Adv26_Hanna003,それ絶対良い意味じゃないですわ。,那绝对不是什么正面称呼啦。
0101Adv26_Hanna004,なんだか慌ててる様子にも見えましたわね……。,我是感觉她看起来有点慌张……
0101Adv26_Hanna005,こんな残酷なものを撮影しようなんて<br>よく思えますわね……。,"亏你能想得到<br>
把这么残忍的景象拍下来……"
0101Adv26_Hanna006,わたくしたちが普段使っているチャットツールと同じですわね。<br>それなら……。,"和我们平常用的聊天工具基本一样呢。<br>
那……"
0101Adv26_Hanna007,なんの記念ですの……。,这是要纪念什么东西啊……
0101Adv26_Hanna008,…………。,…………
0101Adv26_Hanna009,あなたたち、よくそんなじろじろと見られますわね……。<br>わたくし気分が悪ぃですわ……。,"真亏你们能一直死盯着现场看……<br>
反正我感觉很不舒服……"
0101Adv26_Hanna010,あの、気のせいかもしれませんけど、<br>床にひっかき傷みたいなものがありません？,"我说，不知道是不是我的错觉，<br>
你们有没看到地上有一些划痕？"
0101Adv27_Hanna001,あれ、でもここまで来ている子がいるみたいですわよ。,哎呀，似乎还有其他人来了这个地方呢。
0101Adv27_Hanna002,わかる気がしますわ。,我懂她的感觉。
0101Adv27_Hanna003,あなたの方からぶつかってきておいて……<br>ずいぶん慌てているように見えましたけれど？,"你撞到我们之后……<br>
我看你当时十分慌张欸？"
0101Adv27_Hanna004,お話になりませんわね。<br>ふん、行きましょう、エマさん。,"看来和她是讲不通了。<br>
哼，艾玛，我们走。"
0101Adv28_Hanna001,別にってあなた、<br>人が１人死んでるのに、その態度はないんじゃないかしら。,"什么叫“你管我”，<br>
现在可是死了人欸？你这是什么态度。"
0101Adv29_Hanna001,どうしましたの？<br>あなたがため息なんて。,"你怎么了？<br>
天不怕地不怕的雪莉竟然会叹气。"
0101Adv29_Hanna002,ここにある掃除ロッカー、<br>開きっぱなしになっていますわ。,"这边的清扫工具柜<br>
没有关上欸。"
0101Adv29_Hanna003,たしかにここは埃っぽいですけれど、<br>掃除をする心の余裕はもてませんわね。,"虽然这里确实到处都是灰尘，<br>
可大家也不至于有心情打扫吧。"
0101Adv31_Hanna001,さすがに食欲はないですわ。,发生了这种事，实在是没食欲。
0101Adv31_Hanna002,あの、あまり想像させないでくれませんこと？<br>これから何も喉を通らなくなりそう。,"我说，可不可以不要勾起别人的想像？<br>
你害我以后都吃不下饭了欸。"
0101Adv31_Hanna003,【バルーン】に恨みを抱いていた人物…？<br>ありえますわね。<br>有名人はどこで恨みを買うかわからないもの。,"难道是对【气球】有怨恨的人物……？<br>
有可能欸。<br>
毕竟是名人，在什么地方招惹了别人也说不定。"
0101Adv31_Hanna004,うぅ……。,呜……
0101Adv31_Hanna005,わたくし、実は浮ける時間は<br>１分程度ですの。,"我想说，我可以飘在半空中的时间，<br>
其实只有1分钟左右。"
0101Adv31_Hanna006,ぜんぜん良い情報じゃねーですわ……<br>で、できれば言いたくねーですわ。,"完全说不上有益好吗……<br>
本、本来我就很不愿意说这件事。"
0101Adv31_Hanna007,あなたわざと言っているでしょう！？,你是故意说来气我的对吧！？
0101Adv31_Hanna008,げっ,呃。
0101Adv31_Hanna009,ううううぅ……もう断食するしかありませんわ……<br>でも飢え死には嫌ですわぁぁ～。,"呜呜呜呜呜……看来我只能绝食了……<br>
可是我也不想当饿死鬼哇啊啊～"
0101Adv32_Hanna001,ちょっとあなた、<br>みんなが必死に調査してる時に何を遊んでいますの？,"喂，我说你，<br>
这时候大家都在拼命调查，为什么你却在玩手机？"
0101Adv32_Hanna002,コラボしてもらっておいて<br>それはないんじゃないかしら！？,"她都答应跟你联动了，<br>
没必要说得这么过分吧！？"
0101Adv32_Hanna003,あなたお話になりませんわ！ きいぃ！,跟你真是没话好说！哼！
0101Adv34_Hanna001,鐘の音……。,是钟声……
0101Adv35_Hanna001,ひっ……。,噫……
0101Bad02_Hanna001,"> ボイス加工：ドア越しの声
なんなんですのここ……<br>やけに空気が重苦しくありません？","这里是怎么回事……<br>
不觉得空气超级沉重吗？"
0101Bad02_Hanna002,"> ボイス加工：ドア越しの声
どうしましたの？<br>もしや、中に誰かいるとか……！？","怎么啦？<br>
难道里面有人……！？"
0101Bad04_Hanna001,そんなっ！？,怎会这样！？
0101Bad04_Hanna002,"> ボイス加工：ドア越しの声
あうっ！ な、何するんですの！？",呀！你、你干什么！？
0101Bad04_Hanna003,"> ボイス加工：ドア越しの声
痛いっ！ やめてくださいまし！？",好痛！住手呀！？
0101Bad04_Hanna004,"ひうっ！ もう<ruby=""たた"">叩</ruby>かないでくださいまし！？",呜！不要再打我了！？
0101Bad04_Hanna005,な、なんなんですの！？,怎、怎么回事！？
0101Bad04_Hanna006,そうですわ！ わたくしなら大丈夫ですから、<br>バカな真似はおよしなさい！,"对啊！我没事的，<br>
你别做傻事啊！"
0101Bad04_Hanna007,あっ……。,啊……
0101Bad05_Hanna001,無謀ですわ……！,真是乱来……！
0101Bad05_Hanna002,どうするんですのっ！？,现在怎么办！？
0101Bad05_Hanna003,きゃああああっ！？,呀啊啊啊啊！？
0101Bad05_Hanna004,うぅ……。,呜呜……
0101Bad05_Hanna005,わたくしも、とりあえず平気ですわ。<br>それより、ここは一体なんなんですの？,"我也姑且没事。<br>
这个先不提，这里到底是什么地方？"
0101Bad05_Hanna006,なるほど……って、納得してる場合じゃないですわ！<br>どうやってここから出るんですの！？,"原来如此……不对，现在不是讨论这个的时候啦！<br>
我们要怎么出去啊！？"
0101Bad05_Hanna007,こうなったら、わたくしの魔法で<br>脱出してみせますわあああっ……！,"这样的话，就试试靠我的魔法<br>
逃出这里哇啊啊啊……！"
0101Bad05_Hanna008,くそー！ 高すぎて無理ですわ！！,该死的！太高了，我做不到！！
0101Bad05_Hanna009,発想がゴリラ過ぎですわ……。,你的想法也有够像猩猩的……
0101Bad05_Hanna010,ちょっとお待ちなさい。<br>だったらあなたが先に出て、<br>助けを呼んでくることもできるんじゃ……。,"给我等一下。<br>
那你先出去，<br>
再来喊人帮忙不是更好……"
0101Bad05_Hanna011,イヤアアアッ！？,不要啊啊啊！？
0101Bad05_Hanna012,いきなり何するんですの！？ このゴリラ女～！,突然间搞什么啦！？你这个猩猩女～！
0101Bad05_Hanna013,はぁっ！？ 何を言ってるんです！？<br>あなたさっき、自力でのぼれると言ったじゃありませんか！,"哈！？你说什么啊！？<br>
你刚才不是说自己能爬上来吗！"
0101Bad05_Hanna014,ふ……ふざけるんじゃねえですわよ！<br>そんなこと、できるわけないでしょう！,"开……开什么玩笑啊！<br>
我们怎么可能会丢下你不管！"
0101Bad05_Hanna015,……勝手に諦めるんじゃねえですわよ！<br>殺しても死ななそうな顔してるくせに！,"……不许你擅自放弃！<br>
明明你平时就摆出一副打不死的样子！"
0101Bad05_Hanna016,急いでここを出ますわよ！<br>すぐに助けを呼んで戻ってきて……。,"快爬出这里吧！<br>
要尽快找人过来帮忙……"
0101Bad05_Hanna017,ヒーロー気取りのあいつを笑い飛ばしてやりますわ！<br>格好つけたくせに、助かってるじゃないって！,"之后我要狠狠笑话这个自以为是英雄的家伙！<br>
在那里耍帅，结果还是要人救！"
0101Bad05_Hanna018,そん、な……いや……いや……。,怎么、会……不……不……
0101Bad05_Hanna019,置き去りに、したから……<br>わたくしに、もっと力があれば……！,"因为我们，把她丢下了……<br>
如果我有更强大的力量……！"
0101Bad05_Hanna020,だってそうでしょう！？<br>わたくしがもっと自由に空を飛べたら！<br>シェリーさんを助けられたかもしれないのに！！,"我说得不对吗！？<br>
要是我能更自由地飞在空中！<br>
说不定我就能救到雪莉了！！"
0101Bad05_Hanna021,あのときだってそう！！<br>わたくしがもっとしっかりしていれば、<br>置き去りにされたあの子だって死なせずにすんだ！！,"以前也是！！<br>
如果我能更中用，<br>
被丢下的那孩子也就不会死了！！"
0101Bad05_Hanna022,もっともっと、ちゃんとできれば……<br>わたくしが、わたくしのせいで……<br>力が……そう、力があれば……。,"如果我能更加中用……<br>
都怪我，都怪我……<br>
只要有力量……对，只要有力量……"
0101Bad05_Hanna023,うるせえですわ。<br>今は安っぽい慰めなんて聞きたくない。,"你好烦。<br>
我现在不想听这些廉价的安慰。"
0101Bad05_Hanna024,"まったく、ぶっ殺しますわよ。<br>……って、あら？ もう<ruby=""や"">殺</ruby>っちゃってますわね。","真是的，小心我把你杀了。<br>
……哎呀，好像已经杀了。"
0101Bad05_Hanna025,あははははははっ！,啊哈哈哈哈哈哈！
0101Bad05_Hanna026,エマさん……なんででしょうね？<br>なんだか、わたくし……<br>殺したくて殺したくて、しかたがないんです。,"艾玛……为什么呢？<br>
总感觉我……<br>
突然好想杀人，想得不得了。"
0101Bad05_Hanna027,ねえ、エマさん。空を飛んでみたくはありません？,我说，艾玛，你想不想试试飞上天空呀？
0101Bad05_Hanna028,あははは！ いい眺めですわ。<br>この高さから落としたら、人間ってどうなるんでしょう。<br>潰れたトマトみてえになるのかしら？,"啊哈哈哈！风景真好啊。<br>
要是人从这个高度掉下来，会变成什么样呢。<br>
会跟打扁的番茄一样吗？"
0101Bad05_Hanna029,うーん……どうしようかしら。,嗯……该怎么办呢。
0101Bad05_Hanna030,……なんだか必死で惨めだから、嫌ですわ。,……因为你看起来很拼命又可怜，所以我不想答应你。
0101Bad06_Hanna001,このシチュー、お肉ホロホロで、<br>うんめえ～ですわ！,"浓汤里面的肉松松软软的，<br>
好好吃～！"
0101Bad07_Hanna001,どこがですの！？<br>むしろ暴力沙汰を起こしてますけれど！？,"哪里结束了！？<br>
现在是你挑起了暴力事件好吗！？"
0101Bad07_Hanna002,ちょ、ちょっとエマさん！<br>あなたのせいで余計まずい状況になっちゃいましたわよ！？,"我、我说艾玛！<br>
都怪你，现在情况变得更糟糕了欸！？"
0101Bad07_Hanna003,さあ、そんなのわかりませんわ……。,呵，谁知道呢……
0101Bad07_Hanna004,……シェリーさんはどうしたんですの？,……雪莉她情况怎么了？
0101Bad07_Hanna005,どいつもこいつも、いい加減にしやがれですわ！<br>あなたたち全員の責任でしょう！！,"你们这帮人，说够了没！<br>
你们所有人都有责任吧！！"
0101Bad07_Hanna006,今は話しかけないでくださいまし……。,现在请不要和我说话……
0101Bad08_Hanna001,……べっつに？ ぜんぜん平気ですわよ。<br>で、ここに何か手がかりはあったんですの？,"……没事哦？一点都没事。<br>
所以，你们有找到什么线索吗？"
0101Bad08_Hanna002,わたくしも、まったく。,我也是，完全没感觉。
0101Bad08_Hanna003,げっ！？ もしそうだとしたら最低ですわっ！,呃！？如果是真的话，那也太差劲了！
0101Bad08_Hanna004,今の音、なんですの？,刚刚的声音是什么？
0101Bad08_Hanna005,そこ、スマホが落ちてますわ。,那里好像掉了手机欸。
0101Bad08_Hanna006,それ、エマさんのなんですの？,那是艾玛的手机吗？
0101Bad08_Hanna007,というか、エマさんはどこに消えたんですの！？,说来，艾玛到底跑哪里去了啊！？
0101Bad08_Hanna008,あら、エマさん？<br>もう、どこに消えてたんですの？,"哎呀，艾玛？<br>
真是的，你跑哪里去了？"
0101Bad08_Hanna009,そうですわね。<br>ここにはもう、何もなさそうですし。,"嗯。<br>
这里也没什么值得调查的地方了。"
0101Trial01_Hanna001,現場にあった赤い塗料には、<br>使われた形跡がありませんでしたわ？,"放在现场的红色颜料<br>
也没有使用过的痕迹哦？"
0101Trial01_Hanna002,あの量でやったら酸欠で死んじまいますわー！？,要画这么大一幅画，岂不是要吹到缺氧憋死！？
0101Trial02_Hanna001,死体現場に描かれていたのとそっくりですわ！,和尸体目击现场画的长得一模一样！
0101Trial03_Hanna001,心の調子を<br>崩してしまっていたなら……<br>ありえないとも<br>言い切れませんわ……。,"如果她的内心<br>
已经崩溃了……<br>
很难说<br>
一切完全没可能……"
0101Trial03_Hanna002,それはどうしてですの？,这是为什么呢？
0101Trial03_Hanna003,そ、そんな……！<br>嘘ですわっ！？,"怎、怎么会……！<br>
不是真的吧！？"
0101Trial04_Hanna001,部屋に転がってた矢……<br>ですわね？<br>これを胸に刺されて<br>ノアさんは<br>死んだんですわよね……？,"你是说……<br>
掉落在房间里的箭矢？<br>
诺亚应该就是<br>
被这支箭刺中胸口<br>
死掉的，对吧……？"
0101Trial04_Hanna002,別に今それを追求する場面では<br>ないと思いますわ……？,"我倒不认为现在有必要<br>
深究这一点欸……？"
0101Trial04_Hanna003,吹き矢って……<br>その発想、あなた秘境の先住民か何かですの～？,"亏你想得到吹箭……<br>
难道你是什么密境原住民吗～？"
0101Trial04_Hanna004,ぴっ……！？,噫……！？
0101Trial04_Hanna005,ボウガンを盗んだ人は誰なんですの！？<br>さっさと出てきやがりなさいませ～！,"偷了弩枪的究竟是谁啊！？<br>
快站出来认罪啊～！"
0101Trial04_Hanna006,で、でも、どっちにしろボウガンを盗んだなら<br>怪しいに決まってますわ！<br>こいつが犯人ですわ～～！,"可、可是，不管怎么说，<br>
你偷了弩枪肯定会被怀疑啊！<br>
凶手就是你～～！"
0101Trial05_Hanna001,そんなことありませんでしたわ！<br>みんなで確認しにいったじゃありませんか！,"不可能啊！<br>
我们那时不是才一起去确认了吗！"
0101Trial05_Hanna002,……それがなんの証明になるんですの？,……那东西能证明什么？
0101Trial05_Hanna003,わ、わたくしはやってませんわー！？,可、可不是我干的——！？
0101Trial05_Hanna004,そ……それは……！,才……才不对……！
0101Trial05_Hanna005,……ちょちょちょ、ちょっと待ちやがりなさい！？<br>あなたたち、何を言ってるんですの！？,"……喂喂喂，给我等一下好吗！？<br>
你们到底是什么意思！？"
0101Trial05_Hanna006,あ、あ、ありますぅぅ！<br>わ、わたくし、人殺しなんてしてませんわ！？,"当、当、当然要反驳！<br>
我、我才没有，杀人呢！？"
0101Trial05_Hanna007,で、でもぉ～……！,可、可是～……！
0101Trial05_Hanna008,わ、わたくしやっておりませんわっ！！<br>だからバリバリ不都合だらけになるはずですわ！？<br>信じてください～！,"我、我才没有杀人啦！！<br>
所以有很多事都讲不通才对啦！？<br>
请相信我吧～！"
0101Trial05_Hanna009,……うぅぅぅ～～！,……呜呜呜呜～～！
0101Trial06_Hanna001,違いますぅ！<br>わたくし<br>何もやってねーですわ～！,"不对啦！<br>
我什么<br>
都没干啦～！"
0101Trial06_Hanna002,――さ……些細だとしても、<br>【一切痕跡がなかった】は嘘ですわ！<br>間違った話で人を犯人扱いしないでくださいまし！？,"——细……细枝末节怎么了，<br>
证明你说的【没有任何痕迹】就是不对！<br>
请不要用错误的主张冤枉好人，好吗！？"
0101Trial07_Hanna001,えーと……ということはつまり、<br>どういうことなんですの？,"呃……那究竟<br>
说明了什么呢？"
0101Trial07_Hanna002,わたくしとメルルさんも、部屋で配信を見ていましたわー！,我和梅露露一起在房间里看了直播！
0101Trial07_Hanna003,……あのとき、ひとりになった人はいなかったと思いますわ。<br>わたくし、なんとか止めたくて皆さんの様子を見ていましたし。,"……我觉得那时应该没有人落单。<br>
那时我也想劝架，在旁边观察着大家的情况。"
0101Trial07_Hanna004,……あ、あら？ ならそのときも、<br>大半の人にアリバイがあるということですわね……？<br>なら誰が……。,"……啊、啊呀？这么说，当时有<br>
一大半的人都有不在场证明欸……？<br>
究竟还有谁可以行凶……"
0101Trial08_Hanna001,だから！ わたくしじゃねーですわ！,我就说了！不是我杀的！
0101Trial09_Hanna001,どうしても<br>わたくしを犯人扱い<br>したいようですわねっ！？<br>空中以外からも、<br>刺す方法はあったんじゃ<br>ないですこと！？,"为什么<br>
非要把我<br>
当成凶手啊！？<br>
除了飞在天上，<br>
还有其他方法<br>
可以刺杀吧！？"
0101Trial09_Hanna002,真面目にやってくださいまし！！,拜托你认真一点好吗！！
0101Trial09_Hanna003,今は冗談言ってる場合じゃありませんわ！<br>茶化さないでくださいまし！<br>私が疑われてる所なんですわよ！？,"现在不是开玩笑的时候好吗！<br>
能不能不要再搞笑了！<br>
现在我可是在被人怀疑哦！？"
0101Trial09_Hanna004,――怒りますわよ！？,——我可要生气咯！？
0101Trial09_Hanna005,つまりどういうことですの？,所以究竟是怎么一回事？
0101Trial09_Hanna006,……それがなんの根拠になるんですの？,……那样东西算得上根据吗？
0101Trial09_Hanna007,なりません！<br>きちんと考えてくださいまし！,"算不上啊！<br>
你认真点想好吗！"
0101Trial09_Hanna008,それって……ホウキ……ですの？,那是……扫帚？
0101Trial09_Hanna009,矢を先端にくくりつけた……。<br>それって……。,"把箭绑在顶端上……<br>
那就是说……"
0101Trial09_Hanna010,適当なこと言ってごまかさないで欲しいですわ！！,拜托你不要随口乱说在那捣乱了好吗！！
0101Trial09_Hanna011,たしかに……！<br>私たちの中で長い物を持っているのは<br>レイアさんかナノカさんぐらいですわね……！,"真的欸……！<br>
所有人里面拿着长长的东西的，<br>
也只有蕾雅和奈叶香了……！"
0101Trial10_Hanna001,それはたしかに<br>そうかもしれませんけど……！<br>でもそもそもアリバイが――！,"或许是这样没错啦……！<br>
可是你明明没有<br>
不在场证明——！"
0101Trial10_Hanna002,それあなたが<br>言うんですの！？<br>わたくしのこと<br>散々疑ったくせにー！,"你有什么资格<br>
说这句话！？<br>
明明就是你一直<br>
在那里怀疑我～！"
0101Trial10_Hanna003,たしかに……偶然とは思えませんわ～！,确实……我不觉得这是偶然欸～！
